MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 18:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),21-02-2025 18:00
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),21-02-2025 18:00
10000847339,000000000034153614,0.0485,Active Import Interval (kWh),21-02-2025 17:30
10000847339,000000000034153614,0.0030,Active Export Interval (kWh),21-02-2025 17:30
10000847339,000000000034153614,0.0225,Active Import Interval (kWh),21-02-2025 17:00
10000847339,000000000034153614,0.0020,Active Export Interval (kWh),21-02-2025 17:00
10000847339,000000000034153614,0.0010,Active Import Interval (kWh),21-02-2025 16:30
10000847339,000000000034153614,0.0605,Active Export Interval (kWh),21-02-2025 16:30
10000847339,000000000034153614,0.1895,Active Export Interval (kWh),21-02-2025 16:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),21-02-2025 16:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),21-02-2025 15:30
10000847339,000000000034153614,0.2865,Active Export Interval (kWh),21-02-2025 15:30
10000847339,000000000034153614,0.4585,Active Export Interval (kWh),21-02-2025 15:00
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),21-02-2025 15:00
10000847339,000000000034153614,0.4300,Active Export Interval (kWh),21-02-2025 14:30
10000847339,000000000034153614,0.0000,Active Import Interval (kWh),21-02-2025 14:30
10000847339,000000000034153614,0.1415,Active Export Interval (kWh),21-02-2025 14:00
10000847339,000000000034153614,0.0045,Active Import Interval (kWh),21-02-2025 14:00
10000847339,000000000034153614,0.0685,Active Import Interval (kWh),21-02-2025 13:30
10000847339,000000000034153614,0.0415,Active Export Interval (kWh),21-02-2025 13:30
10000847339,000000000034153614,0.2010,Active Export Interval (kWh),21-02-2025 13:00
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),21-02-2025 13:00
10000847339,000000000034153614,0.2290,Active Export Interval (kWh),21-02-2025 12:30
10000847339,000000000034153614,0.0015,Active Import Interval (kWh),21-02-2025 12:30
10000847339,000000000034153614,0.0850,Active Export Interval (kWh),21-02-2025 12:00
10000847339,000000000034153614,0.0050,Active Import Interval (kWh),21-02-2025 12:00
10000847339,000000000034153614,0.0065,Active Import Interval (kWh),21-02-2025 11:30
10000847339,000000000034153614,0.0450,Active Export Interval (kWh),21-02-2025 11:30
10000847339,000000000034153614,0.0115,Active Export Interval (kWh),21-02-2025 11:00
10000847339,000000000034153614,0.0045,Active Import Interval (kWh),21-02-2025 11:00
10000847339,000000000034153614,0.0020,Active Export Interval (kWh),21-02-2025 10:30
10000847339,000000000034153614,0.0055,Active Import Interval (kWh),21-02-2025 10:30
10000847339,000000000034153614,0.0210,Active Import Interval (kWh),21-02-2025 10:00
